id,title,publication_year,type,language,cited_by_count,primary_location_source_id,primary_topic_id,doi,is_retracted
https://openalex.org/W2000729752,MICROCHEMICAL TECHNIQUE: IV. THE MICRODETERMINATION OF MERCURY AND HALOGEN IN ORGANOMERCURIC HALIDES,1940,article,en,5,https://openalex.org/S4210176233,https://openalex.org/T10908,https://doi.org/10.1139/cjr40b-030,False
https://openalex.org/W2001322533,Stochastic value index for seismic risk management of existing lifelines,2009,article,en,2,https://openalex.org/S186055561,https://openalex.org/T10632,https://doi.org/10.12989/sem.2009.32.1.147,False
https://openalex.org/W2001334274,A figure of merit for visual colorimeters using spectral stimuli,1973,article,en,0,https://openalex.org/S68719679,https://openalex.org/T11666,https://doi.org/10.1016/0042-6989(73)90262-9,False
https://openalex.org/W2003444939,"Biopesticide formulations, possibility of application and future trends",2013,article,en,139,https://openalex.org/S4210194590,https://openalex.org/T11065,https://doi.org/10.2298/pif1302097g,False
https://openalex.org/W2003469294,A tempting alternative,2009,article,en,0,https://openalex.org/S74477906,https://openalex.org/T10902,https://doi.org/10.12968/gasn.2009.7.1.39366,False
https://openalex.org/W2003518199,Erratum: Enhanced lattice-displacement effects on the crystal field and the anomalous magnetic anisotropy in cerium monopnictides,1980,erratum,en,0,https://openalex.org/S4210174675,https://openalex.org/T10607,https://doi.org/10.1103/physrevb.22.1471,False
https://openalex.org/W2003596640,Initial Conditions for Carbon-13 MAS NMR 1D Exchange Involving Chemically Equivalent and Inequivalent Nuclei,2000,article,en,20,https://openalex.org/S90573847,https://openalex.org/T11809,https://doi.org/10.1006/jmre.2000.2092,False
https://openalex.org/W2003945840,An automated method for identifying TRIZ evolution trends from patents,2011,article,en,50,https://openalex.org/S13144211,https://openalex.org/T10856,https://doi.org/10.1016/j.eswa.2011.06.005,False
https://openalex.org/W2004141181,Slow breathing as a means to improve orthostatic tolerance: a randomized sham-controlled trial,2013,article,en,43,https://openalex.org/S140889577,https://openalex.org/T11950,https://doi.org/10.1152/japplphysiol.00128.2013,False
https://openalex.org/W2004734111,The Youth Demographic: Opportunity and Challenge for Developmental Planning: A Zimbabwe Case Study,2013,article,en,1,https://openalex.org/S2764675630,https://openalex.org/T12635,https://doi.org/10.5901/jesr.2013.v3n6p119,False
https://openalex.org/W2035401242,School and Work Release Evaluations-Reply,1989,article,en,0,https://openalex.org/S172573765,https://openalex.org/T11084,https://doi.org/10.1001/jama.1989.03420200044024,False
https://openalex.org/W2035737547,Stephens and Goldman Respond,1986,article,en,9,https://openalex.org/S24807848,https://openalex.org/T11887,https://doi.org/10.1103/physrevlett.57.2770,False
https://openalex.org/W2036324385,Making connections: a review of supply chain management and sustainability literature,2012,review,en,782,https://openalex.org/S59007373,https://openalex.org/T10539,https://doi.org/10.1108/13598541211258573,False
https://openalex.org/W2036372021,Reading Habakkuk 3 in the light of ancient unit delimiters,2013,article,en,5,https://openalex.org/S52609742,https://openalex.org/T10362,https://doi.org/10.4102/hts.v69i1.1975,False
https://openalex.org/W2036568374,Influence of channel shape on the thermal and hydraulic performance of microchannel heat sink,2011,article,en,211,https://openalex.org/S118246204,https://openalex.org/T10998,https://doi.org/10.1016/j.icheatmasstransfer.2010.12.031,False
https://openalex.org/W2036653913,A Study to Access the Effectiveness of Home‐based Reinforcement in a Secondary School: Some Preliminary Findings,1990,article,en,5,https://openalex.org/S119968383,https://openalex.org/T10826,https://doi.org/10.1080/0266736900050406,False
https://openalex.org/W2036904522,Freestanding midwifery units versus obstetric units: does the effect of place of birth differ with level of social disadvantage?,2012,article,en,26,https://openalex.org/S200437886,https://openalex.org/T10453,https://doi.org/10.1186/1471-2458-12-478,False
https://openalex.org/W2042512976,"ChemInform Abstract: Microwave‐Assisted Multicomponent Reaction in Water: Highly Stereoselective Synthesis of Pyrimidinespiroisoxazolo[5,4‐b]pyridine Derivatives (IV).",2012,article,en,0,https://openalex.org/S41354064,https://openalex.org/T10817,https://doi.org/10.1002/chin.201221170,False
https://openalex.org/W2042715523,M1281 Evaluation of a New Endoscopic Pancreatic Function Test (ePFT) Technique Using Combined Secretin and Cholecystokinin (CCK) Stimulation,2009,article,en,0,https://openalex.org/S143352558,https://openalex.org/T10760,https://doi.org/10.1016/s0016-5085(09)61783-2,False
https://openalex.org/W2043073035,Control of Cavity Flow Oscillations by High Frequency Forcing,2012,article,en,13,https://openalex.org/S14419372,https://openalex.org/T11254,https://doi.org/10.1115/1.4006468,False
https://openalex.org/W2043075193,"Responses of pigmentation and δ13C in Qilian juniper to cold and drought stresses under natural conditions in the Qilian Mountains, China",2014,article,en,4,https://openalex.org/S194146006,https://openalex.org/T10266,https://doi.org/10.1007/s11738-014-1598-5,False
https://openalex.org/W2043099890,The Influence of Culture on Negotiati on Styles of Brazilian Executives,2008,article,en,12,https://openalex.org/S4210175454,https://openalex.org/T11696,https://doi.org/10.2753/jmr1536-5433060203,False
https://openalex.org/W2043905963,Structural Change Induced by Electrochemical Lithium Insertion in Cobalt Vanadium Oxide,2007,article,en,9,https://openalex.org/S138759888,https://openalex.org/T11128,https://doi.org/10.1149/1.2792324,False
https://openalex.org/W2063779415,Analysis of the ultralow friction behavior of a mesogenic fluid in a reciprocating contact,2011,article,en,25,https://openalex.org/S16737290,https://openalex.org/T11799,https://doi.org/10.1016/j.wear.2010.12.012,False
https://openalex.org/W2064277454,Stellar Kinematics of Merging Galaxies: Clues to the Origins of Elliptical Galaxies,1998,article,en,51,https://openalex.org/S1980519,https://openalex.org/T10026,https://doi.org/10.1086/305434,False
https://openalex.org/W2069051280,"Efficiency wages, employment, and the marginal income-tax rate: A note",1998,article,en,226,https://openalex.org/S107033909,https://openalex.org/T11770,https://doi.org/10.1007/bf01237465,False
https://openalex.org/W2069174305,MIS structure with polyamide insulator under the conditions of water vapor sorption,2005,article,en,4,https://openalex.org/S84376829,https://openalex.org/T11472,https://doi.org/10.1134/1.2014537,False
https://openalex.org/W2069433616,Educational Opportunity in Depressed Economic Times,1988,article,en,0,https://openalex.org/S4306530599,https://openalex.org/T11801,https://doi.org/10.2118/18101-ms,False
https://openalex.org/W2070218629,A Contractility Index Independent of Myocardial Length.,1992,article,en,0,https://openalex.org/S2764682314,https://openalex.org/T10784,https://doi.org/10.1253/jcj.56.722,False
https://openalex.org/W2070233361,The effectiveness of computer assisted pronunciation training for foreign language learning by children,2008,article,en,173,https://openalex.org/S100649693,https://openalex.org/T10403,https://doi.org/10.1080/09588220802447651,False
https://openalex.org/W2070406687,"53. Carbonaceous mesophase prepared from petroleum, coal tar and aromatic-derived pitches",1984,article,en,1,https://openalex.org/S188605413,https://openalex.org/T12084,https://doi.org/10.1016/0008-6223(84)90270-7,False
https://openalex.org/W2077012486,Free Abdominal Flaps: Variations in Design and Application to Soft Tissue Defects of the Head,1989,article,en,12,https://openalex.org/S24509660,https://openalex.org/T10599,https://doi.org/10.1055/s-2007-1006868,False
https://openalex.org/W2083232324,An exploration of economic reasoning in hoarding disorder patients,2011,article,en,26,https://openalex.org/S186589312,https://openalex.org/T11123,https://doi.org/10.1016/j.brat.2011.09.005,False
https://openalex.org/W2084391519,Endothelial infection with KSHV genes in vivo reveals that vGPCR initiates Kaposi's sarcomagenesis and can promote the tumorigenic potential of viral latent genes,2003,article,en,371,https://openalex.org/S25671836,https://openalex.org/T10685,https://doi.org/10.1016/s1535-6108(02)00237-4,False
https://openalex.org/W2084694443,Microsatellite Polymorphism Linkage Map of Human Chromosome 13q,1993,article,en,58,https://openalex.org/S146035217,https://openalex.org/T13199,https://doi.org/10.1006/geno.1993.1071,False
https://openalex.org/W2094884831,"Resonant Impurity States in the<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mi>d</mml:mi></mml:math>-Density-Wave Phase",2002,article,en,36,https://openalex.org/S24807848,https://openalex.org/T10037,https://doi.org/10.1103/physrevlett.89.106401,False
https://openalex.org/W2098007351,Interferon‐α/β and <i>Rickettsia prowazekii</i>: Induction and Sensitivitya,1990,article,en,17,https://openalex.org/S8802318,https://openalex.org/T10296,https://doi.org/10.1111/j.1749-6632.1990.tb42219.x,False
https://openalex.org/W2098338109,Biology-guided adaptive radiotherapy (BiGART) – more than a vision?,2013,editorial,en,26,https://openalex.org/S1043257,https://openalex.org/T10358,https://doi.org/10.3109/0284186x.2013.829245,False
https://openalex.org/W2098761057,"Dose‐Proportional Intraindividual Single‐ and Repeated‐Dose Pharmacokinetics of Roflumilast, an Oral, Once‐Daily Phosphodiesterase 4 Inhibitor",2006,article,en,88,https://openalex.org/S146237847,https://openalex.org/T12434,https://doi.org/10.1177/0091270006294529,False
https://openalex.org/W2124815679,Low-Power 2.4-GHz Transceiver With Passive RX Front-End and 400-mV Supply,2006,article,en,272,https://openalex.org/S83637746,https://openalex.org/T10187,https://doi.org/10.1109/jssc.2006.884801,False
https://openalex.org/W2124978267,"Stoff‐ und Volumentransport durch Membranen mit elektrisch geladenem Gerüst II. Membranen, deren Porenweite groß ist im Vergleich zur Ausdehnung der Ionenatmosphäre",1964,article,de,10,https://openalex.org/S4306504167,https://openalex.org/T12274,https://doi.org/10.1002/bbpc.19640680408,False
https://openalex.org/W2125431777,Goal Integration and Well-Being,2009,article,en,17,https://openalex.org/S23753256,https://openalex.org/T11400,https://doi.org/10.1177/0022022109338622,False
https://openalex.org/W2126047658,Pneumothorax and hydrothorax after subclavian vein cannulation,1977,article,en,6,https://openalex.org/S43893605,https://openalex.org/T10285,https://doi.org/10.1136/pgmj.53.618.226,False
https://openalex.org/W2126048208,The behavioural transition from straight to curve walking: kinetics of leg movement parameters and the initiation of turning,2005,article,en,107,https://openalex.org/S20257348,https://openalex.org/T10879,https://doi.org/10.1242/jeb.01637,False
https://openalex.org/W2126966164,Successful therapy with omalizumab for imported fire ant anaphylaxis,2005,article,en,1,https://openalex.org/S108525051,https://openalex.org/T10634,https://doi.org/10.1016/j.jaci.2004.12.167,False
https://openalex.org/W2127408869,Moon Walkers and Urban Pollution,2013,letter,en,7,https://openalex.org/S186920367,https://openalex.org/T10190,https://doi.org/10.1016/j.amjmed.2013.02.003,False
https://openalex.org/W2187620470,Dynamic content delivery infrastructure deployment using network cloud resources,2014,dissertation,de,2,https://openalex.org/S4406922277,https://openalex.org/T11478,https://doi.org/10.14279/depositonce-3942,False
https://openalex.org/W2200456437,Raman- spektroskopische Untersuchungen zu den Veränderungen des Gehalts an Carotinoiden im Produktlebenszyklus von Eiern von der landwirtschaftlichen Produktion bis zum Verzehr,2006,dissertation,de,1,https://openalex.org/S4406922277,https://openalex.org/T10333,https://doi.org/10.14279/depositonce-1402,False
https://openalex.org/W2216250896,Innovationsförderliche Organisationskultur - Eine konzeptionelle und empirische Untersuchung radikaler Innovationsprojekte,2009,dissertation,de,6,https://openalex.org/S4406922277,https://openalex.org/T14389,https://doi.org/10.14279/depositonce-2193,False
https://openalex.org/W2224820783,Freie und triglycerid-gebundene Hydroxyfettsäuren in Gerste und Malz und ihre Bedeutung für die Geschmacksstabilität des Bieres,2005,dissertation,de,2,https://openalex.org/S4406922277,https://openalex.org/T10750,https://doi.org/10.14279/depositonce-1147,False
https://openalex.org/W2243059945,Il giardino ritrovato - der wiedergefundene Garten oder Bramantes Erben,2006,dissertation,de,0,https://openalex.org/S4406922277,https://openalex.org/T13394,https://doi.org/10.14279/depositonce-1385,False
https://openalex.org/W2262225266,Physiology in plant science: what lies ahead?,2015,article,en,1,https://openalex.org/S4210227003,https://openalex.org/T12813,https://doi.org/10.15361/1984-5529.2016v44n1p49-55,False
https://openalex.org/W2264922306,포스터 전시 발표 순서 : 소화기 ; 궤양성 대장염 환자에서 발생한 폐쇄성 기관지염 (bronchiolitis obliterans organizing pneumonia: BOOP) 2예 (초),2009,article,ko,0,https://openalex.org/S162267923,https://openalex.org/T11189,,False
https://openalex.org/W2265602337,Ценностные подходы к развитию профессионального самоопределения художественных руководителей творческих коллективов,2006,article,ru,0,https://openalex.org/S4306538783,https://openalex.org/T13386,,False
https://openalex.org/W2267226769,浅谈《祖乐阿拉达尔罕传》汉译意义,2012,article,zh,0,https://openalex.org/S4306544343,https://openalex.org/T14423,,False
https://openalex.org/W2268368070,The fighting cheyennes [Book Review],2013,article,en,0,https://openalex.org/S2764876753,https://openalex.org/T12323,,False
