id,display_name,country_code,type,ror
https://openalex.org/I19820366,Chinese Academy of Sciences,CN,government,https://ror.org/034t30j35
https://openalex.org/I200870766,Brookhaven National Laboratory,US,facility,https://ror.org/02ex6cf31
https://openalex.org/I20121455,Bielefeld University,DE,education,https://ror.org/02hpadn98
https://openalex.org/I204250578,"University of California, Irvine",US,education,https://ror.org/04gyf1771
https://openalex.org/I204337017,Aarhus University,DK,education,https://ror.org/01aj84f44
https://openalex.org/I221273032,Altana (Netherlands),NL,company,https://ror.org/05tgveb11
https://openalex.org/I22299242,Kyoto University,JP,education,https://ror.org/02kpeqv85
https://openalex.org/I2277624104,Fondazione Bruno Kessler,IT,facility,https://ror.org/01j33xk10
https://openalex.org/I268975460,Universitätsklinikum Gießen und Marburg,DE,healthcare,https://ror.org/032nzv584
https://openalex.org/I2802335433,Aarhus University Hospital,DK,healthcare,https://ror.org/040r8fr65
https://openalex.org/I2802584641,Leshan Normal University,CN,education,https://ror.org/036cvz290
https://openalex.org/I2802934949,Radboud University Medical Center,NL,funder,https://ror.org/05wg1m734
https://openalex.org/I29955533,Center for Information Technology,US,facility,https://ror.org/03jh5a977
https://openalex.org/I32971472,Yale University,US,education,https://ror.org/03v76x132
https://openalex.org/I39422238,University of Illinois Chicago,US,education,https://ror.org/02mpq6x41
https://openalex.org/I39694355,Hunter College,US,education,https://ror.org/00g2xk477
https://openalex.org/I4210087042,Max Planck Institute for Medical Research,DE,facility,https://ror.org/000bxzc63
https://openalex.org/I4210087962,National Institute of Arthritis and Musculoskeletal and Skin Diseases,US,facility,https://ror.org/006zn3t30
https://openalex.org/I4210088259,National Institute of Dental and Craniofacial Research,US,facility,https://ror.org/004a2wv92
https://openalex.org/I4210089842,Neurobehavioral Research Laboratory and Clinic,US,healthcare,https://ror.org/00d6pe324
https://openalex.org/I4210097933,Institut für Sozialwissenschaftliche Forschung,DE,nonprofit,https://ror.org/0120amd78
https://openalex.org/I4210124779,National Aeronautics and Space Administration,US,government,https://ror.org/027ka1x80
https://openalex.org/I4210125796,University Children's Hospital Tübingen,DE,healthcare,https://ror.org/03esvmb28
https://openalex.org/I4210125804,Broadgreen Hospital,GB,healthcare,https://ror.org/03f7qhc68
https://openalex.org/I4210132651,Fraunhofer Institute for Mechanics of Materials,DE,facility,https://ror.org/04hm8eb66
https://openalex.org/I4210145268,Hospital das Clínicas da Faculdade de Medicina da Universidade de São Paulo,BR,healthcare,https://ror.org/03se9eg94
https://openalex.org/I4210146926,Institute for Community Living,US,nonprofit,https://ror.org/03jhs6a31
https://openalex.org/I4210149250,Schlumberger (Norway),NO,company,https://ror.org/03m9gpr25
https://openalex.org/I4210152813,Institute of Pesticides and Environmental Protection,RS,facility,https://ror.org/05hpj3k77
https://openalex.org/I4388482714,Naval Research Laboratory Remote Sensing Division,,facility,https://ror.org/0366raz47
https://openalex.org/I4401726811,Hartford Financial Services (United States),,company,https://ror.org/00mwq1g96
https://openalex.org/I47807954,"Queensborough Community College, CUNY",US,education,https://ror.org/03a4vma36
https://openalex.org/I52792670,HealthPartners,US,nonprofit,https://ror.org/03s9ada67
https://openalex.org/I53964585,Weizmann Institute of Science,IL,education,https://ror.org/0316ej306
https://openalex.org/I57206974,New York University,US,education,https://ror.org/0190ak572
https://openalex.org/I59553526,Stony Brook University,US,education,https://ror.org/05qghxh33
https://openalex.org/I63098007,Liverpool John Moores University,GB,education,https://ror.org/04zfme737
https://openalex.org/I63634437,Universidad Autónoma de Madrid,ES,education,https://ror.org/01cby8j38
https://openalex.org/I68956291,Martin Luther University Halle-Wittenberg,DE,education,https://ror.org/05gqaka33
https://openalex.org/I69552723,University of Pretoria,ZA,education,https://ror.org/00g0p6g84
https://openalex.org/I71305448,Voronezh State University,RU,education,https://ror.org/0543j5e78
https://openalex.org/I75027704,University of Tennessee at Knoxville,US,education,https://ror.org/020f3ap87
https://openalex.org/I79156528,Universiti Tenaga Nasional,MY,education,https://ror.org/03kxdn807
https://openalex.org/I79619799,University of Birmingham,GB,education,https://ror.org/03angcq70
https://openalex.org/I80281795,University of Otago,NZ,education,https://ror.org/01jmxt844
https://openalex.org/I8087733,University of Tübingen,DE,education,https://ror.org/03a1kwz48
https://openalex.org/I83019370,Eindhoven University of Technology,NL,education,https://ror.org/02c2kyt77
https://openalex.org/I83809506,University of South Alabama,US,education,https://ror.org/01s7b5y08
https://openalex.org/I84218800,"University of California, Davis",US,education,https://ror.org/05rrcem69
https://openalex.org/I867280407,The University of Texas Southwestern Medical Center,US,healthcare,https://ror.org/05byvp690
https://openalex.org/I891191580,Aalborg University,DK,education,https://ror.org/04m5j1k67
https://openalex.org/I897542642,University of Plymouth,GB,education,https://ror.org/008n7pv89
https://openalex.org/I90183372,Université de Lorraine,FR,education,https://ror.org/04vfs2w97
https://openalex.org/I913958620,Erasmus University Rotterdam,NL,education,https://ror.org/057w15z03
https://openalex.org/I95457486,"University of California, Berkeley",US,education,https://ror.org/01an7q238
https://openalex.org/I98677209,University of Edinburgh,GB,education,https://ror.org/01nrxwf90
