id,display_name,subfield_display_name,field_display_name,domain_display_name
https://openalex.org/T10880,Environmental Sustainability in Business,Marketing,"Business, Management and Accounting",Social Sciences
https://openalex.org/T10892,Drilling and Well Engineering,Ocean Engineering,Engineering,Physical Sciences
https://openalex.org/T10893,Chinese history and philosophy,Sociology and Political Science,Social Sciences,Social Sciences
https://openalex.org/T10902,Complementary and Alternative Medicine Studies,Complementary and alternative medicine,Medicine,Health Sciences
https://openalex.org/T10907,International Student and Expatriate Challenges,Communication,Social Sciences,Social Sciences
https://openalex.org/T10908,Analytical Chemistry and Chromatography,Spectroscopy,Chemistry,Physical Sciences
https://openalex.org/T10969,Water resources management and optimization,Ocean Engineering,Engineering,Physical Sciences
https://openalex.org/T10979,Breastfeeding Practices and Influences,Epidemiology,Medicine,Health Sciences
https://openalex.org/T10980,Vascular Malformations and Hemangiomas,Surgery,Medicine,Health Sciences
https://openalex.org/T10981,Cytomegalovirus and herpesvirus research,Epidemiology,Medicine,Health Sciences
https://openalex.org/T10987,Microfinance and Financial Inclusion,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences
https://openalex.org/T10998,Heat Transfer and Optimization,Mechanical Engineering,Engineering,Physical Sciences
https://openalex.org/T11008,Aerodynamics and Acoustics in Jet Flows,Aerospace Engineering,Engineering,Physical Sciences
https://openalex.org/T11033,Contact Dermatitis and Allergies,Dermatology,Medicine,Health Sciences
https://openalex.org/T11035,Salivary Gland Tumors Diagnosis and Treatment,Surgery,Medicine,Health Sciences
https://openalex.org/T11065,Insect Pest Control Strategies,Plant Science,Agricultural and Biological Sciences,Life Sciences
https://openalex.org/T11075,Insect Resistance and Genetics,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences
https://openalex.org/T11084,Workplace Health and Well-being,General Health Professions,Health Professions,Health Sciences
https://openalex.org/T11112,Viral Infections and Immunology Research,Cardiology and Cardiovascular Medicine,Medicine,Health Sciences
https://openalex.org/T11123,Obsessive-Compulsive Spectrum Disorders,Clinical Psychology,Psychology,Social Sciences
https://openalex.org/T11128,Transition Metal Oxide Nanomaterials,Polymers and Plastics,Materials Science,Physical Sciences
https://openalex.org/T11138,Tribology and Lubrication Engineering,Mechanical Engineering,Engineering,Physical Sciences
https://openalex.org/T11144,melanin and skin pigmentation,Cell Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences
https://openalex.org/T11159,Manufacturing Process and Optimization,Industrial and Manufacturing Engineering,Engineering,Physical Sciences
https://openalex.org/T11170,Biomimetic flight and propulsion mechanisms,Aerospace Engineering,Engineering,Physical Sciences
https://openalex.org/T11176,Radiation Therapy and Dosimetry,Pulmonary and Respiratory Medicine,Medicine,Health Sciences
https://openalex.org/T11189,Transplantation: Methods and Outcomes,Surgery,Medicine,Health Sciences
https://openalex.org/T11212,Cultural Heritage Materials Analysis,Archeology,Arts and Humanities,Social Sciences
https://openalex.org/T11213,Genomic variations and chromosomal abnormalities,Genetics,"Biochemistry, Genetics and Molecular Biology",Life Sciences
https://openalex.org/T11244,Climate Change and Health Impacts,"Health, Toxicology and Mutagenesis",Environmental Science,Physical Sciences
https://openalex.org/T11254,Fluid Dynamics and Vibration Analysis,Computational Mechanics,Engineering,Physical Sciences
https://openalex.org/T11271,Myasthenia Gravis and Thymoma,Neurology,Medicine,Health Sciences
https://openalex.org/T11357,Risk and Safety Analysis,"Statistics, Probability and Uncertainty",Decision Sciences,Social Sciences
https://openalex.org/T11383,Advanced Antenna and Metasurface Technologies,Aerospace Engineering,Engineering,Physical Sciences
https://openalex.org/T11392,Energy Harvesting in Wireless Networks,Electrical and Electronic Engineering,Engineering,Physical Sciences
https://openalex.org/T11400,Motivation and Self-Concept in Sports,Social Psychology,Psychology,Social Sciences
https://openalex.org/T11423,Pesticide Residue Analysis and Safety,Food Science,Agricultural and Biological Sciences,Life Sciences
https://openalex.org/T11436,Entomopathogenic Microorganisms in Pest Control,Insect Science,Agricultural and Biological Sciences,Life Sciences
https://openalex.org/T11454,Cultural Differences and Values,Social Psychology,Psychology,Social Sciences
https://openalex.org/T11460,Analytical Methods in Pharmaceuticals,Analytical Chemistry,Chemistry,Physical Sciences
https://openalex.org/T11472,Analytical Chemistry and Sensors,Bioengineering,Chemical Engineering,Physical Sciences
https://openalex.org/T11478,Caching and Content Delivery,Computer Networks and Communications,Computer Science,Physical Sciences
https://openalex.org/T11511,Dyeing and Modifying Textile Fibers,Building and Construction,Engineering,Physical Sciences
https://openalex.org/T11542,Behavioral Health and Interventions,Applied Psychology,Psychology,Social Sciences
https://openalex.org/T11544,"Gender, Labor, and Family Dynamics",Gender Studies,Social Sciences,Social Sciences
https://openalex.org/T11546,Plant Physiology and Cultivation Studies,Plant Science,Agricultural and Biological Sciences,Life Sciences
https://openalex.org/T11556,"Poverty, Education, and Child Welfare",Safety Research,Social Sciences,Social Sciences
https://openalex.org/T11557,Lubricants and Their Additives,Mechanical Engineering,Engineering,Physical Sciences
https://openalex.org/T11570,Periodontal Regeneration and Treatments,Urology,Medicine,Health Sciences
https://openalex.org/T11582,Nanopore and Nanochannel Transport Studies,Biomedical Engineering,Engineering,Physical Sciences
https://openalex.org/T11613,Phytochemistry and Biological Activities,Plant Science,Agricultural and Biological Sciences,Life Sciences
https://openalex.org/T11622,Maritime Navigation and Safety,Ocean Engineering,Engineering,Physical Sciences
https://openalex.org/T11631,"Retirement, Disability, and Employment",Demography,Social Sciences,Social Sciences
https://openalex.org/T11638,Cardiac tumors and thrombi,Cardiology and Cardiovascular Medicine,Medicine,Health Sciences
https://openalex.org/T11664,Fiber-reinforced polymer composites,Mechanical Engineering,Engineering,Physical Sciences
https://openalex.org/T11666,Color Science and Applications,"Atomic and Molecular Physics, and Optics",Physics and Astronomy,Physical Sciences
https://openalex.org/T11682,Advanced Condensed Matter Physics,Condensed Matter Physics,Physics and Astronomy,Physical Sciences
https://openalex.org/T11696,Conflict Management and Negotiation,Sociology and Political Science,Social Sciences,Social Sciences
https://openalex.org/T11708,Photochromic and Fluorescence Chemistry,Materials Chemistry,Materials Science,Physical Sciences
https://openalex.org/T11745,Potato Plant Research,Food Science,Agricultural and Biological Sciences,Life Sciences
https://openalex.org/T11746,Inorganic and Organometallic Chemistry,Organic Chemistry,Chemistry,Physical Sciences
https://openalex.org/T11760,Plant responses to elevated CO2,Plant Science,Agricultural and Biological Sciences,Life Sciences
https://openalex.org/T11766,Iron-based superconductors research,"Electronic, Optical and Magnetic Materials",Materials Science,Physical Sciences
https://openalex.org/T11770,Fiscal Policy and Economic Growth,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences
https://openalex.org/T11771,Plant Pathogens and Resistance,Plant Science,Agricultural and Biological Sciences,Life Sciences
https://openalex.org/T11796,Horticultural and Viticultural Research,Plant Science,Agricultural and Biological Sciences,Life Sciences
https://openalex.org/T11799,"Adhesion, Friction, and Surface Interactions",Mechanics of Materials,Engineering,Physical Sciences
https://openalex.org/T11801,Reservoir Engineering and Simulation Methods,Ocean Engineering,Engineering,Physical Sciences
https://openalex.org/T11807,Infrastructure Resilience and Vulnerability Analysis,Civil and Structural Engineering,Engineering,Physical Sciences
https://openalex.org/T11809,Advanced NMR Techniques and Applications,Spectroscopy,Chemistry,Physical Sciences
https://openalex.org/T11887,Quasicrystal Structures and Properties,Materials Chemistry,Materials Science,Physical Sciences
https://openalex.org/T11924,Polyamine Metabolism and Applications,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences
https://openalex.org/T11945,Heat Transfer Mechanisms,Mechanical Engineering,Engineering,Physical Sciences
https://openalex.org/T11947,Molten salt chemistry and electrochemical processes,Fluid Flow and Transfer Processes,Chemical Engineering,Physical Sciences
https://openalex.org/T11950,Cardiovascular Syncope and Autonomic Disorders,Surgery,Medicine,Health Sciences
https://openalex.org/T11951,Trauma Management and Diagnosis,Surgery,Medicine,Health Sciences
https://openalex.org/T11963,Impact of Light on Environment and Health,Global and Planetary Change,Environmental Science,Physical Sciences
https://openalex.org/T11988,Sustainable Building Design and Assessment,Building and Construction,Engineering,Physical Sciences
https://openalex.org/T12005,Spaceflight effects on biology,Physiology,Medicine,Health Sciences
https://openalex.org/T12031,Speech and dialogue systems,Artificial Intelligence,Computer Science,Physical Sciences
https://openalex.org/T12047,Viral Infections and Vectors,Infectious Diseases,Medicine,Health Sciences
https://openalex.org/T12058,Allelopathy and phytotoxic interactions,Plant Science,Agricultural and Biological Sciences,Life Sciences
https://openalex.org/T12074,Membrane-based Ion Separation Techniques,Biomedical Engineering,Engineering,Physical Sciences
https://openalex.org/T12084,Synthesis and properties of polymers,Polymers and Plastics,Materials Science,Physical Sciences
https://openalex.org/T12099,Advanced materials and composites,Mechanical Engineering,Engineering,Physical Sciences
https://openalex.org/T12123,Financial Analysis and Corporate Governance,Accounting,"Business, Management and Accounting",Social Sciences
https://openalex.org/T12263,Peacebuilding and International Security,Sociology and Political Science,Social Sciences,Social Sciences
https://openalex.org/T12270,Microwave-Assisted Synthesis and Applications,Organic Chemistry,Chemistry,Physical Sciences
https://openalex.org/T12274,Electrostatics and Colloid Interactions,Physical and Theoretical Chemistry,Chemistry,Physical Sciences
https://openalex.org/T12278,Vascular Tumors and Angiosarcomas,Oncology,Medicine,Health Sciences
https://openalex.org/T12295,"Foucault, Power, and Ethics",Sociology and Political Science,Social Sciences,Social Sciences
https://openalex.org/T12309,solar cell performance optimization,Electrical and Electronic Engineering,Engineering,Physical Sciences
https://openalex.org/T12316,Oil Spill Detection and Mitigation,Pollution,Environmental Science,Physical Sciences
https://openalex.org/T12323,Asian American and Pacific Histories,Cultural Studies,Social Sciences,Social Sciences
https://openalex.org/T12330,Botanical Research and Applications,Food Science,Agricultural and Biological Sciences,Life Sciences
https://openalex.org/T12358,Thermal and Kinetic Analysis,Materials Chemistry,Materials Science,Physical Sciences
https://openalex.org/T12375,Cuban History and Society,Sociology and Political Science,Social Sciences,Social Sciences
https://openalex.org/T12381,Electron Spin Resonance Studies,Biophysics,"Biochemistry, Genetics and Molecular Biology",Life Sciences
https://openalex.org/T12388,Identification and Quantification in Food,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences
https://openalex.org/T12389,Infrared Target Detection Methodologies,Aerospace Engineering,Engineering,Physical Sciences
https://openalex.org/T12427,Metal Alloys Wear and Properties,Materials Chemistry,Materials Science,Physical Sciences
https://openalex.org/T12434,Phosphodiesterase function and regulation,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences
https://openalex.org/T12452,Electrowetting and Microfluidic Technologies,Electrical and Electronic Engineering,Engineering,Physical Sciences
https://openalex.org/T12539,Pharmacology and Obesity Treatment,Pharmacology,Medicine,Health Sciences
https://openalex.org/T12544,Working Capital and Financial Performance,Accounting,"Business, Management and Accounting",Social Sciences
https://openalex.org/T12635,African studies and sociopolitical issues,Sociology and Political Science,Social Sciences,Social Sciences
https://openalex.org/T12697,Water Quality Monitoring Technologies,Water Science and Technology,Environmental Science,Physical Sciences
https://openalex.org/T12704,Stress and Burnout Research,Social Psychology,Psychology,Social Sciences
https://openalex.org/T12813,Plant and Biological Electrophysiology Studies,Plant Science,Agricultural and Biological Sciences,Life Sciences
https://openalex.org/T12849,Parvovirus B19 Infection Studies,Infectious Diseases,Medicine,Health Sciences
https://openalex.org/T12852,Chemical Thermodynamics and Molecular Structure,Organic Chemistry,Chemistry,Physical Sciences
https://openalex.org/T12907,Mechanical Engineering and Vibrations Research,Mechanical Engineering,Engineering,Physical Sciences
https://openalex.org/T12917,Astronomy and Astrophysical Research,Instrumentation,Physics and Astronomy,Physical Sciences
https://openalex.org/T13049,Surface Roughness and Optical Measurements,Computational Mechanics,Engineering,Physical Sciences
https://openalex.org/T13050,Oil and Gas Production Techniques,Ocean Engineering,Engineering,Physical Sciences
https://openalex.org/T13108,Therapeutic Uses of Natural Elements,Complementary and Manual Therapy,Health Professions,Health Sciences
https://openalex.org/T13123,Advances in Oncology and Radiotherapy,"Radiology, Nuclear Medicine and Imaging",Medicine,Health Sciences
https://openalex.org/T13126,Scientific Research and Discoveries,Statistical and Nonlinear Physics,Physics and Astronomy,Physical Sciences
https://openalex.org/T13154,Legal and Regulatory Analysis,Transportation,Social Sciences,Social Sciences
https://openalex.org/T13199,Digestive system and related health,Genetics,"Biochemistry, Genetics and Molecular Biology",Life Sciences
https://openalex.org/T13274,Expert finding and Q&A systems,Information Systems,Computer Science,Physical Sciences
https://openalex.org/T13386,Educational Methods and Teacher Development,Information Systems,Computer Science,Physical Sciences
https://openalex.org/T13393,Child Nutrition and Feeding Issues,Psychiatry and Mental health,Medicine,Health Sciences
https://openalex.org/T13394,"Ecology, Conservation, and Geographical Studies",Nature and Landscape Conservation,Environmental Science,Physical Sciences
https://openalex.org/T13443,Mineralogy and Gemology Studies,Geochemistry and Petrology,Earth and Planetary Sciences,Physical Sciences
https://openalex.org/T13494,Military History and Strategy,Political Science and International Relations,Social Sciences,Social Sciences
https://openalex.org/T13560,Socioeconomic Development in MENA,Sociology and Political Science,Social Sciences,Social Sciences
https://openalex.org/T13634,Middle East and Rwanda Conflicts,Sociology and Political Science,Social Sciences,Social Sciences
https://openalex.org/T13652,Education and Social Development in Ukraine,Education,Social Sciences,Social Sciences
https://openalex.org/T13768,Oral and gingival health research,Pharmacy,Health Professions,Health Sciences
https://openalex.org/T13957,Corporate Governance and Financial Management,Strategy and Management,"Business, Management and Accounting",Social Sciences
https://openalex.org/T14210,Historical and Linguistic Studies,Sociology and Political Science,Social Sciences,Social Sciences
https://openalex.org/T14235,"Linguistic, Cultural, and Literary Studies",Sociology and Political Science,Social Sciences,Social Sciences
https://openalex.org/T14306,Technology Assessment and Management,"Safety, Risk, Reliability and Quality",Engineering,Physical Sciences
https://openalex.org/T14308,Psychological and Educational Research Studies,Experimental and Cognitive Psychology,Psychology,Social Sciences
https://openalex.org/T14342,"Military, Security, and Education Studies",Sociology and Political Science,Social Sciences,Social Sciences
https://openalex.org/T14389,"Innovation, Technology, and Society",Sociology and Political Science,Social Sciences,Social Sciences
https://openalex.org/T14418,"Development, Ethics, and Society",Development,Social Sciences,Social Sciences
https://openalex.org/T14423,Military Technology and Strategies,Aerospace Engineering,Engineering,Physical Sciences
